,Unnamed: 0,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core,shell,formula,core_atomic_percent,core_pauling_electronegativity,shell_atomic_percent,shell,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function
16,16,0.1,2.5,668,8,15.2,379,8.9,38,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
17,17,0.1,2.5,668,8,14.7,547,10.7,73,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
18,18,0.1,2.5,668,8,16,534,13,81,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
19,19,0.1,2.5,668,8,16.5,756,12.8,109,0,0,1,1,1,1,2.416394474,109.4712206,109.4712206,109.4712206,2.924839357,90,90,119.9999855,0.6666666667,0.940952381,171.2914587,1,Ni,NiO,Ni-NiO,{'Ni': 100.0},191,"{'Ni': 50.0, 'O': 50.0}",267.5,1000,515,800,257.5
20,20,0.1234567901,60,793,350,74.595,902.2495,31.042,112.781,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,35.13044293,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
21,21,0.1234567901,60,793,300,79.167,1316.317,39.222,226.736,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,35.13044293,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
22,22,0.09118541033,60,793,250,83.259,1616.53,41.629,170,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,35.13044293,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
23,23,0.1234567901,60,793,200,85.9,2594.2375,56,169.131,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,35.13044293,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
24,24,0.1234567901,60,720,100,87,6052.7,67.858,112.78,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,31.89649295,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
25,25,0.09118541033,60,720,50,87.5,7932.631,71.226,56.18,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,31.89649295,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
26,26,0.1234567901,60,720,150,87.349,4116.89,63.046,90,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,31.89649295,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
27,27,0.09118541033,60,720,5,87.83,8966,73.151,50,1,0,1,10,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.388093916,122.2098958,142.6878026,47.91917824,0.3333333333,0.8398133748,31.89649295,1,Fe2CoO4,FeBiO3,CoFe2O4@BiFeO3,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,700,205.7142857,520,94
28,28,0.1,6,1661,5,22.472,538.42,5.9066,142.78,0,0,1,0.5,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.3344709898,411.9435168,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
29,29,0.1,6,1661,5,22.472,434,5.9066,137.21,0,0,1,0.5,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.3344709898,411.9435168,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
30,30,0.1,6,1661,5,31.472,280,6.2542,71,0,0,1,0.5,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.3344709898,411.9435168,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
31,31,0.1,6,1661,5,19.872,532.96,4.4662,346.379,0,0,1,0.5,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.3344709898,411.9435168,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
32,32,0.12,0.1,370,2,9.56001747,1661.3845,0.059892,952.57,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.927027027,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
33,33,0.12,0.1,370,2,18.248,1322.79,0.059892,629.898,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
34,34,0.12,0.1,370,2,18.248,1070.862,0.059892,519.698,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
35,35,0.12,0.1,370,2,18.248,881.8975,0.059892,472.1585,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
36,36,0.015,0.1,370,2,16.358,806.3,8.35808,278.3,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
37,37,0.015,0.1,370,2,16.358,697.695,8.35808,185.144,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
38,38,0.015,0.1,370,2,16.358,636.065,8.35808,108.065,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
39,39,0.015,0.1,370,2,16.358,604.83,8.35808,76.83,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.9235127479,183.8409441,1,FeRh,0,FeRh,"{'Fe': 50.0, 'Rh': 50.0}",91.5,{},0,400,235,0,0
40,40,0.3,80,140,5,6.9,145,0.022,440,0,0.07,1,1,0.0643659771,50,2.920997,90,90,90,0,0,0,0,0.3333333333,-1.19047619,71.8932611,1.268500447,MnO2,0,MnO2,"{'Mn': 33.33333333333333, 'O': 66.66666666666666}",281,{},0,633.3333333,136.6666667,0,0
41,41,0.04615384615,4,858,5,60,1186,16.22,551.72,0,0.848,1,5,1,1,2.941951704,60,60,60,5.142692,74.87633512,90,90,0.5,0.856870229,105.1878621,1,Ag,Fe3O4,Ag/Fe3O4,{'Ag': 100.0},0,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,0,0,685.7142857,201.4285714
42,42,0.04615384615,4,858,5,60,1186,16.22,551.72,0,0,1,1,1,1,2.941951704,60,60,60,5.142692,74.87633512,90,90,0.5,0.8967889908,105.1878621,1,Ag,Fe3O4,Ag/Fe3O4,{'Ag': 100.0},0,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,0,0,685.7142857,201.4285714
43,43,0.2575107296,4,1043,5,384.57,2095.77,247.96,96.767,0,111.36,1,5,1,1,2.459351531,109.469122,109.4670629,109.4595825,3.788512,90,90,90,0.5,0.8839662447,137.6529888,1.000148021,Fe,Fe2O3,Fe/Fe2O3,{'Fe': 100.0},183,"{'Fe': 40.0, 'O': 60.0}",279.6,800,470,680,188
44,45,0.15625,30,858,300,35,652.1534,5.14,93.2306,0,0,1,0,1,1.246753247,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
