,Unnamed: 0,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core,shell,formula,core_atomic_percent,core_pauling_electronegativity,shell_atomic_percent,shell,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function
285,294,0.375,60,538,5,48,12180,38.148,135,0,0,1,5,1,1,5.996281061,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.4444444444,0.5360824742,66.71451296,1,Fe2NiO4,CoO,NiFe2O4/CoO,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,"{'Co': 50.0, 'O': 50.0}",266,714.2857143,207.8571429,750,250
286,295,0.2727272727,60,538,5,16.5,12110,12.592,161,0,0,1,5,1,1,5.996281061,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.4444444444,0.5360824742,66.71451296,1,Fe2NiO4,CoO,NiFe2O4/CoO,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,"{'Co': 50.0, 'O': 50.0}",266,714.2857143,207.8571429,750,250
287,296,0.25,60,538,5,19,12040,14.81,143,0,0,1,5,1,1,5.996281061,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.4444444444,0.5360824742,66.71451296,1,Fe2NiO4,CoO,NiFe2O4/CoO,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,"{'Co': 50.0, 'O': 50.0}",266,714.2857143,207.8571429,750,250
288,297,0.00375,6,1388,5,16.6078,504,7.6124,182,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
289,298,0.00375,6,1388,5,16.6078,446,7.6124,126,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
290,299,0.00375,6,1388,5,16.6078,318,7.6124,374,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
291,300,0.00375,6,1388,5,16.6078,357,7.6124,685,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
292,301,0.00375,6,1388,5,16.6078,504,7.6124,182,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
293,302,0.00375,6,1388,5,16.6078,332,7.6124,94,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
294,303,0.00375,6,1388,5,16.6078,218,7.6124,314,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
295,304,0.00375,6,1388,5,16.6078,354,7.6124,685,0,0,1,1,1,1,2.489759746,60,60,60,3.011828164,107.2949512,89.50258333,120.0378437,0.6666666667,0.638225256,344.2369665,1,Co,CoO,Co/CoO,{'Co': 100.0},188,"{'Co': 50.0, 'O': 50.0}",266,900,500,750,250
296,305,0.4898979486,80,93,2,6.2,9130.43,2.3944,1304.348,0,0,1,3.5,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
297,306,0.4898979486,80,93,2,6.2,8478.26,2.11,1195.65,1,0,1,3.5,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
298,307,0.4898979486,80,93,2,5.79,10000,2.2456,763,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
299,308,0.4898979486,80,93,8,5.75,9812.5,2.175,506,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
300,309,0.4898979486,80,93,10,5.75,9687.5,2.175,379,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
301,310,0.4898979486,80,93,15,6,8189.5,2.133,340.5,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
302,311,0.4898979486,80,93,20,5.979,7920.689,2.1,178.869,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
303,312,0.4898979486,80,93,25,6.2,7508.612,2,124.743,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
304,313,0.4898979486,80,93,30,5.9,7705.6475,1.967,179.2,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
305,314,0.4898979486,80,93,40,6.151,6289.9845,2.3,18,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
306,315,0.4898979486,80,93,60,7.6,3512.753,2.994,108.706,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
307,316,0.4898979486,80,93,80,8,1397.7685,3,35.3685,0,0,1,1,0.6711392913,1,5.988303,89.99998491,119.9999754,59.99995031,0,0,0,0,0.4285714286,0.21875,7.765147755,0.9999992303,Cr2CoO4,0,CoCr2O4,"{'Cr': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",270.8571429,{},0,642.8571429,200,0,0
308,317,0.1428571429,30,823,50,96,141,8.4,14,1,0,1,3,1,1,2.447572721,90,90,108.0943677,0,0,0,0,1,0.5766625616,252.1886254,1.613552875,FeNi,0,FeNi,"{'Fe': 50.0, 'Ni': 50.0}",187,{},0,900,492.5,0,0
309,318,0.8823529412,60,797,5,3.367,1484,0.123,1217,0,0.0923,1,5,1,1,2.481599734,60,60,60,6.348074159,117.4929608,89.99975597,117.6525217,0.5,-0.2528467153,50.91445352,1,Mn,Mn3O4,Mn-Mn3O4,{'Mn': 100.0},155,"{'Mn': 42.857142857142854, 'O': 57.14285714285714}",263,700,410,642.8571429,175.7142857
310,319,0.2307692308,6,858,5,5.625,8649.5,1.5625,909,0,1.125,1,5,1,1,5.142692,74.87633512,90,90,3.43396276,89.99988972,60.03562403,59.97819011,0.4444444444,0.4576271186,93.75795899,1.708366274,Fe3O4,MnO,Fe3O4/MnO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mn': 50.0, 'O': 50.0}",249.5,685.7142857,201.4285714,650,205
311,320,0.075,6,858,5,5.625,6995,1.5625,727,1,1.5,1,5,1,1,5.142692,74.87633512,90,90,3.43396276,89.99988972,60.03562403,59.97819011,0.4444444444,0.4576271186,93.75795899,1.708366274,Fe3O4,MnO,Fe3O4/MnO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mn': 50.0, 'O': 50.0}",249.5,685.7142857,201.4285714,650,205
312,321,0.05454545455,40,658,5,17.7,4263,11,104,0,0,1,5,0.2327223898,7.272727273,5.932913866,120.4947892,120.20238,89.39747524,2.924839357,90,90,119.9999855,0.4444444444,0.619047619,84.36360767,1,Fe2CoO4,NiO,CoFe2O4-NiO,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Ni': 50.0, 'O': 50.0}",267.5,700,205.7142857,800,257.5
313,322,0.05454545455,40,658,5,30,6315,22.4,183,0,0,1,5,0.2327223898,7.272727273,5.932913866,120.4947892,120.20238,89.39747524,2.924839357,90,90,119.9999855,0.4444444444,0.619047619,84.36360767,1,Fe2CoO4,NiO,CoFe2O4-NiO,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Ni': 50.0, 'O': 50.0}",267.5,700,205.7142857,800,257.5
314,323,0.05454545455,40,658,5,34.5,12334,22.5,612,0,0,1,5,0.2327223898,7.272727273,5.932913866,120.4947892,120.20238,89.39747524,2.924839357,90,90,119.9999855,0.4444444444,0.619047619,84.36360767,1,Fe2CoO4,NiO,CoFe2O4-NiO,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Ni': 50.0, 'O': 50.0}",267.5,700,205.7142857,800,257.5
315,324,0.05454545455,40,658,5,47.2,12653,32.7,758,0,0,1,5,0.2327223898,7.272727273,5.932913866,120.4947892,120.20238,89.39747524,2.924839357,90,90,119.9999855,0.4444444444,0.619047619,84.36360767,1,Fe2CoO4,NiO,CoFe2O4-NiO,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Ni': 50.0, 'O': 50.0}",267.5,700,205.7142857,800,257.5
316,325,0.05454545455,40,658,5,41,7820,33.5,584,0,0,1,5,0.2327223898,7.272727273,5.932913866,120.4947892,120.20238,89.39747524,2.924839357,90,90,119.9999855,0.4444444444,0.619047619,84.36360767,1,Fe2CoO4,NiO,CoFe2O4-NiO,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Ni': 50.0, 'O': 50.0}",267.5,700,205.7142857,800,257.5
317,326,0.25,20,858,5,38.4,5491,12.549,50,0,0,1,5,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.2029411765,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
318,327,0.25,20,858,25,30.17,5033.95,15.932,101.55,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.8359759431,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
319,328,0.25,20,858,50,30.5,3534,14.9,127.295,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.7961956522,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
320,329,0.25,20,858,75,30.5,2746.15,13.9,101.65,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.7961956522,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
321,330,0.25,20,858,100,30,2161.55,12.288,76.25,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.7961956522,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
322,331,0.25,20,858,125,30.25,1525.8,11.61,101,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.7961956522,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
323,332,0.25,20,858,150,30.339,941.295,10.763,76.9,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.8695652174,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
324,333,0.25,20,858,200,29.32,457.615,9.326,50.845,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.8870481928,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
325,334,0.25,20,858,250,27.967,951.139,6.5,25.559,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.8944776644,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
326,335,0.25,20,858,300,26.187,597.2501,6,0.199,0,0,1,0,0.805995977,1,5.142692,74.87633512,90,90,3.0097887,60,60,60,0.3333333333,0.8944776644,142.5349228,1.708366274,Fe3O4,MgO,Fe3O4/MgO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Mg': 50.0, 'O': 50.0}",237.5,685.7142857,201.4285714,400,183
327,336,0.2068965517,20,800,25,30.85,5255.674,20.17,918.639,0,0,1,1,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.6527777778,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
328,337,0.2068965517,20,800,50,31.538,3724.686,16.4,407.967,0,0,1,1,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7112771739,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
329,338,0.2068965517,20,800,75,30.427,2882.653,15.213,178.571,0,0,1,5,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7592067989,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
330,339,0.2068965517,20,800,100,30.34,2168.6,13.675,25.2,0,0,1,1,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7112771739,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
331,340,0.2068965517,20,800,125,30.3,1505.05,12.393,76.55,0,0,1,1,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7112771739,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
332,341,0.2068965517,20,800,150,30.17,944.54,11.368,25.46,0,0,1,5,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7160988644,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
333,342,0.2068965517,20,800,200,29.144,433.5,7.752,76.5,0,0,1,5,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7187293183,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
334,343,0.2068965517,20,800,250,27.606,951.139,9.061,25.559,0,0,1,1,0.805995977,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.8260335653,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4/CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
335,344,0.4411764706,50,1003,5,63.0136,11898.92,26.621,1253.696,0,0,1,5,1,1,3.788512,90,90,90,0,0,0,0,0.4,0.7798941799,198.560807,1,Fe2O3,0,Fe2O3,"{'Fe': 40.0, 'O': 60.0}",279.6,{},0,680,188,0,0
336,345,0.4411764706,50,986.5,5,55.3693,8798.29,26.621,1478.24,0,0,1,5,1,1,2.489759746,60,60,60,3.788512,90,90,90,0.5,0.7905759162,130.1962354,1,Co,Fe2O3,Co/Fe2O3,{'Co': 100.0},188,"{'Fe': 40.0, 'O': 60.0}",279.6,900,500,680,188
337,346,0.4411764706,50,986.5,5,50.1338,1634.436,25.577,223.87,0,0,1,5,1,1,2.489759746,60,60,60,3.788512,90,90,90,0.5,0.7905759162,130.1962354,1,Co,Fe2O3,Co/Fe2O3,{'Co': 100.0},188,"{'Fe': 40.0, 'O': 60.0}",279.6,900,500,680,188
338,347,0.4411764706,50,986.5,5,28.9442,873.4,22.55,13.282,0,0,1,5,1,1,2.489759746,60,60,60,3.788512,90,90,90,0.5,0.7905759162,130.1962354,1,Co,Fe2O3,Co/Fe2O3,{'Co': 100.0},188,"{'Fe': 40.0, 'O': 60.0}",279.6,900,500,680,188
339,348,0.4166666667,75,800,5,67,26100,35.1206,90,0,0,1,7,1,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.684147795,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4-CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
340,349,0.2255639098,75,800,5,63,21700,44.862,50,0,0,1,7,1,1,5.142692,74.87633512,90,90,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.2769857434,33.71024837,1.708366274,Fe3O4,Fe2CoO4,Fe3O4-CoFe2O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,685.7142857,201.4285714,700,205.7142857
341,351,0.4341534009,50,793,5,98.5,13200,46.295,833,0,0,1,4.8,1,1,5.932913866,120.4947892,120.20238,89.39747524,0,0,0,0,0.4285714286,0.5528089888,66.8305674,1,Fe2CoO4,0,CoFe2O4,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,{},0,700,205.7142857,0,0
342,352,0.2727272727,50,825,5,83.3,8310,50.8,961.2,0,0,1,3.8,1,1,5.932913866,120.4947892,120.20238,89.39747524,5.996281061,60,60,60,0.4285714286,0.796728972,34.39631964,1,Fe2CoO4,Fe2NiO4,CoFe2O4@NiFe2O4,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,700,205.7142857,714.2857143,207.8571429
343,353,0.03562945368,50,594,5,75.3,251,15.813,280.8268,0,0,1,2.114,1,1,5.996281061,60,60,60,0,0,0,0,0.4285714286,0.6328671329,49.53070028,1,Fe2NiO4,0,NiFe2O4,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,{},0,714.2857143,207.8571429,0,0
344,354,0.25,50,825,5,86.3,3010,38.835,830,0,0,1,5.6,1,1,5.996281061,60,60,60,5.932913866,120.4947892,120.20238,89.39747524,0.4285714286,0.7978971963,34.76369363,1,Fe2NiO4,Fe2CoO4,NiFe2O4@CoFe2O4,"{'Fe': 28.57142857142857, 'Ni': 14.285714285714285, 'O': 57.14285714285714}",276.1428571,"{'Fe': 28.57142857142857, 'Co': 14.285714285714285, 'O': 57.14285714285714}",275.7142857,714.2857143,207.8571429,700,205.7142857
345,355,0.75,50,573,5,6.7,3230,2.18,1020,0,0.845,1,5,1,1,6.055895717,59.8443616,59.34137478,60.17587797,3.788512,90,90,90,0.4166666667,0.8415611814,45.37401492,1.000955976,Mn(FeO2)2,Fe2O3,MnFe2O4-Fe2O3,"{'Mn': 14.285714285714285, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",271,"{'Fe': 40.0, 'O': 60.0}",279.6,671.4285714,192.8571429,680,188
346,356,0.6,50,573,5,7.2,3100,2.045,1030,0,0.676,1,5,1,1,6.055895717,59.8443616,59.34137478,60.17587797,3.788512,90,90,90,0.4166666667,0.8415611814,45.37401492,1.000955976,Mn(FeO2)2,Fe2O3,MnFe2O4-Fe2O3,"{'Mn': 14.285714285714285, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",271,"{'Fe': 40.0, 'O': 60.0}",279.6,671.4285714,192.8571429,680,188
347,357,0.5,50,573,5,7.5,3370,2.45,1110,0,0.591,1,5,1,1,6.055895717,59.8443616,59.34137478,60.17587797,3.788512,90,90,90,0.4166666667,0.8415611814,45.37401492,1.000955976,Mn(FeO2)2,Fe2O3,MnFe2O4-Fe2O3,"{'Mn': 14.285714285714285, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",271,"{'Fe': 40.0, 'O': 60.0}",279.6,671.4285714,192.8571429,680,188
348,358,0.5,50,573,5,8.3,3100,3.06,1110,0,0.92957,1,5,1,1,6.055895717,59.8443616,59.34137478,60.17587797,3.788512,90,90,90,0.4166666667,0.8415611814,45.37401492,1.000955976,Mn(FeO2)2,Fe2O3,MnFe2O4-Fe2O3,"{'Mn': 14.285714285714285, 'Fe': 28.57142857142857, 'O': 57.14285714285714}",271,"{'Fe': 40.0, 'O': 60.0}",279.6,671.4285714,192.8571429,680,188
349,359,0.1666666667,20,858,5,80.88,400,19.35,769,0,0,1,5,1,1,5.142692,74.87633512,90,90,0,0,0,0,0.4285714286,0.8624708625,140.2504828,1.708366274,Fe3O4,0,Fe3O4,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,{},0,685.7142857,201.4285714,0,0
350,360,0.2,20,858,5,109,1700,100,280,0,0,1,5,1,1,6.223664514,82.94196439,82.94196439,42.45986446,5.142692,74.87633512,90,90,0.5714285714,0.8151705863,52.59393104,0.8017184371,Fe5C2,Fe3O4,Fe5C2/Fe3O4,"{'Fe': 71.42857142857143, 'C': 28.57142857142857}",203.5714286,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,685.7142857,478.5714286,685.7142857,201.4285714
351,361,0.25,20,520,5,122.8,1400,100,147,0,0,1,5,1,1,6.223664514,82.94196439,82.94196439,42.45986446,0,0,0,0,0.7142857143,0.7858036273,25.06561844,0.8017184371,Fe5C2,0,Fe5C2,"{'Fe': 71.42857142857143, 'C': 28.57142857142857}",203.5714286,{},0,685.7142857,478.5714286,0,0
352,362,0.2068965517,30,970,5,94,414,16.26100534,1115.58,0,0,1,3,1,1,4.332798299,131.8647325,131.8647325,70.44275125,0,0,0,0,1,0.71643238,83.95267328,1,FeNi3,0,FeNi3,"{'Fe': 25.0, 'Ni': 75.0}",189,{},0,950,503.75,0,0
353,363,0.138121547,30,630,5,57,174,0.8346118,188.886,0,0,1,3,1,1,4.332798299,131.8647325,131.8647325,70.44275125,2.790101817,90,90,119.9999957,0.8,0.8506473003,84.67432929,1,FeNi3,Mo,FeNi3-Mo,"{'Fe': 25.0, 'Ni': 75.0}",189,{'Mo': 100.0},216,950,503.75,600,460
