area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,core,shell,formula
0.123457,60,793,350,74.595,902.2495,31.042,112.781,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,35.13044,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.123457,60,793,300,79.167,1316.317,39.222,226.736,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,35.13044,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.091185,60,793,250,83.259,1616.53,41.629,170,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,35.13044,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.123457,60,793,200,85.9,2594.238,56,169.131,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,35.13044,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.123457,60,720,100,87,6052.7,67.858,112.78,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,31.89649,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.091185,60,720,50,87.5,7932.631,71.226,56.18,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,31.89649,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.123457,60,720,150,87.349,4116.89,63.046,90,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,31.89649,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.091185,60,720,5,87.83,8966,73.151,50,1,0,1,10,1,1,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.839813,31.89649,1,275.7143,243,700,205.7143,520,94,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,Fe2CoO4,FeBiO3,CoFe2O4-BiFeO3
0.1,6,1661,5,22.472,538.42,5.9066,142.78,0,0,1,0.5,1,1,2.48976,60,60,60,3.011828,107.295,89.50258,120.0378,0.666667,0.334471,411.9435,1,188,266,900,500,750,250,0,0,0,2.932331,2,10,Co,CoO,Co-CoO
0.1,6,1661,5,22.472,434,5.9066,137.21,0,0,1,0.5,1,1,2.48976,60,60,60,3.011828,107.295,89.50258,120.0378,0.666667,0.334471,411.9435,1,188,266,900,500,750,250,0,0,0,2.932331,2,10,Co,CoO,Co-CoO
