,area/volume,volume,area,space_group_core,space_group_shell,h_range_max_koe,Tb,TN,Tc,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,id,sphericity,max/min,core,shell,formula
0,0.4054054054054055,1697.3968882133322,688.1338735999997,186.0,227.0,50.0,300.0,378.0,793.0,7.399999999999999,7.399999999999999,7.399999999999999,1.0,5.0,51.87579999999997,27800.0,29.1666,1132.0,0.0,0.0,1.0,5.0,<built-in function id>,1.0,1.0,ZnO,CoFe2O4,ZnO-CoFe2O4
1,0.42857142857142855,1436.7538266666666,615.75164,225.0,227.0,50.0,276.0,293.0,843.0,7.0,7.0,7.0,1.0,5.0,59.73399999999998,7800.0,38.81,406.0,0.0,0.0,1.0,5.0,<built-in function id>,1.0,1.0,CoO,CoFe2O4,CoO-CoFe2O4
2,0.17647058823529413,20579.50889333333,3631.67804,227.0,0.0,9.999999999999996,150.0,766.8,640.0,17.0,17.0,17.0,1.0,300.0,2.2900000000000205,24.800000000000182,0.007799999999999585,51.34000000000003,1.0,0.0,1.0,0.0,<built-in function id>,1.0,1.0,Mn0.5Zn0.5Fe2O4,0,Mn0.5Zn0.5Fe2O4
3,0.27272727272727276,5575.275053333333,1520.52956,227.0,0.0,9.999999999999996,150.0,766.8,640.0,11.0,11.0,11.0,1.0,300.0,2.430000000000007,90.19999999999982,0.02179999999999893,108.17999999999995,1.0,0.0,1.0,0.0,<built-in function id>,1.0,1.0,Mn0.5Zn0.5Fe2O4,0,Mn0.5Zn0.5Fe2O4
4,0.25000000000000006,7238.223359999999,1809.55584,227.0,0.0,9.999999999999996,150.0,766.8,640.0,12.0,12.0,12.0,1.0,300.0,16.149999999999977,40.070000000000164,0.3498000000000019,8.919999999999959,1.0,0.0,1.0,0.0,<built-in function id>,1.0,1.0,Mn0.5Zn0.5Fe2O4,0,Mn0.5Zn0.5Fe2O4
5,0.16666666666666669,24429.003839999998,4071.5006399999997,227.0,0.0,9.999999999999996,150.0,766.8,640.0,18.0,18.0,18.0,1.0,300.0,18.75,47.13000000000011,0.6546000000000003,14.379999999999995,1.0,0.0,1.0,0.0,<built-in function id>,1.0,1.0,Mn0.5Zn0.5Fe2O4,0,Mn0.5Zn0.5Fe2O4
6,0.14285714285714288,38792.353319999995,5541.76476,227.0,0.0,9.999999999999996,150.0,766.8,640.0,21.0,20.999999999999996,21.0,1.0,300.0,81.48000000000002,109.34999999999991,9.2738,2.830000000000041,1.0,0.0,1.0,0.0,<built-in function id>,1.0,1.0000000000000002,Mn0.5Zn0.5Fe2O4,0,Mn0.5Zn0.5Fe2O4
7,0.11111111111111112,82447.88795999996,9160.876439999996,62.0,0.0,60.0,29.999999999999986,740.0,730.0,26.999999999999996,27.0,27.0,1.0,5.0,1.3234999999999673,830.0,0.7349999999999994,0.0,1.0,0.016999999999999904,0.0,0.0,<built-in function id>,1.0,1.0000000000000002,LaFeO3,0,LaFeO3
8,0.11111111111111112,82447.88795999996,9160.876439999996,62.0,0.0,60.0,29.999999999999986,740.0,730.0,26.999999999999996,27.0,27.0,1.0,5.0,1.352899999999977,894.0,0.7349999999999994,255.0,0.0,0.04732000000000003,0.0,0.4999999999999998,<built-in function id>,1.0,1.0000000000000002,LaFeO3,0,LaFeO3
9,0.11111111111111112,82447.88795999996,9160.876439999996,62.0,0.0,60.0,29.999999999999986,740.0,730.0,26.999999999999996,27.0,27.0,1.0,5.0,1.352899999999977,910.0,0.7349999999999994,296.0,0.0,0.017279999999999962,1.0,1.0,<built-in function id>,1.0,1.0000000000000002,LaFeO3,0,LaFeO3
10,0.11111111111111112,82447.88795999996,9160.876439999996,62.0,0.0,60.0,29.999999999999986,740.0,730.0,26.999999999999996,27.0,27.0,1.0,5.0,1.3822999999999865,945.0000000000002,0.7349999999999994,344.0,0.0,0.043179999999999996,1.0,2.0,<built-in function id>,1.0,1.0000000000000002,LaFeO3,0,LaFeO3
11,0.11111111111111112,82447.88795999996,9160.876439999996,62.0,0.0,60.0,29.999999999999986,740.0,730.0,26.999999999999996,27.0,27.0,1.0,5.0,1.4411699999999996,1077.0,0.6999999999999993,635.0,0.0,0.142857,1.0,5.0,<built-in function id>,1.0,1.0000000000000002,LaFeO3,0,LaFeO3
12,0.08333333333333334,195432.03071999998,16286.002559999999,62.0,0.0,60.0,29.999999999999986,740.0,730.0,36.0,36.0,36.0,1.0,5.0,0.6499999999999204,894.0,0.05879999999999974,0.0,1.0,0.30000000000000004,0.0,0.0,<built-in function id>,1.0,1.0,LaFeO3,0,LaFeO3
13,0.08333333333333334,195432.03071999998,16286.002559999999,62.0,0.0,60.0,29.999999999999986,740.0,730.0,36.0,36.0,36.0,1.0,5.0,0.6499999999999204,985.0,0.05879999999999974,229.00000000000006,0.0,0.008799999999999919,1.0,0.4999999999999998,<built-in function id>,1.0,1.0,LaFeO3,0,LaFeO3
14,0.08333333333333334,195432.03071999998,16286.002559999999,62.0,0.0,60.0,29.999999999999986,740.0,730.0,36.0,36.0,36.0,1.0,5.0,0.6499999999999204,1016.0,0.05879999999999974,350.0,0.0,0.01760000000000006,1.0,1.0,<built-in function id>,1.0,1.0,LaFeO3,0,LaFeO3
15,0.08333333333333334,195432.03071999998,16286.002559999999,62.0,0.0,60.0,29.999999999999986,740.0,730.0,36.0,36.0,36.0,1.0,5.0,0.660000000000025,1074.0000000000002,0.05879999999999974,502.0,0.0,0.02299999999999991,1.0,2.0,<built-in function id>,1.0,1.0,LaFeO3,0,LaFeO3
