link,id,space_group_core,space_group_shell,core,shell,h_range_max_koe,chemical formula,Tb,TN,Tc,c1,c2,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t
doi.org/10.1016/j.jallcom.2021.161650,29,161,0,Bi1Fe1O3,0,15,BiFeO3,35,643,1098,BiFeO3,0,20.4,20.4,20.4,1,300,0.12,,0.03,0,1,0,1,0.5
doi.org/10.1016/j.jallcom.2021.161650,30,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,793,CoFe2O4,BiFeO3,24.3,24.3,24.3,1,350,74.595,902.2495,31.042,112.781,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,31,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,793,CoFe2O4,BiFeO3,24.3,24.3,24.3,1,300,79.167,1316.317,39.222,226.736,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,32,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,793,CoFe2O4,BiFeO3,32.9,32.9,32.9,1,250,83.259,1616.53,41.629,170,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,33,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,793,CoFe2O4,BiFeO3,24.3,24.3,24.3,1,200,85.9,2594.2375,56,169.131,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,34,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,720,CoFe2O4,BiFeO3,24.3,24.3,24.3,1,100,87,6052.7,67.858,112.78,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,35,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,720,CoFe2O4,BiFeO3,32.9,32.9,32.9,1,50,87.5,7932.631,71.226,56.18,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,36,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,720,CoFe2O4,BiFeO3,24.3,24.3,24.3,1,150,87.349,4116.89,63.046,90,1,0,1,10
doi.org/10.1016/j.jallcom.2021.161650,37,227,161,Co1Fe2O4,Bi1Fe1O3,60,CoFe2O4-BiFeO3,103,643,720,CoFe2O4,BiFeO3,32.9,32.9,32.9,1,5,87.83,8966,73.151,50,1,0,1,10
doi.org/10.3390/coatings11020122,38,194,225,Co1,Co1O1,6,Co-CoO,195,293,1661,Co,CoO,30,30,30,1,5,,538.42,,142.78,0,0,1,0.5
doi.org/10.3390/coatings11020122,39,194,225,Co1,Co1O1,6,Co-CoO,195,293,1661,Co,CoO,30,30,30,1,5,,434,,137.21,0,0,1,0.5
doi.org/10.3390/coatings11020122,40,194,225,Co1,Co1O1,6,Co-CoO,195,293,1661,Co,CoO,30,30,30,1,5,,280,,71,0,0,1,0.5
doi.org/10.3390/coatings11020122,41,194,225,Co1,Co1O1,6,Co-CoO,195,293,1661,Co,CoO,30,30,30,1,5,,532.96,,346.379,0,0,1,0.5
10.1016/j.matchemphys.2021.125252,42,221,0,Fe1Rh1,0,0.1,FeRh,27,370,370,FeRh,0,25,25,25,1,2,,1661.3845,,952.57,0,0,1,1
10.1016/j.matchemphys.2021.125252,43,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,25,25,25,1,2,,1322.79,,629.898,0,0,1,1
10.1016/j.matchemphys.2021.125252,44,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,25,25,25,1,2,,1070.862,,519.698,0,0,1,1
10.1016/j.matchemphys.2021.125252,45,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,25,25,25,1,2,,881.8975,,472.1585,0,0,1,1
10.1016/j.matchemphys.2021.125252,46,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,200,200,200,1,2,,806.3,,278.3,0,0,1,5
10.1016/j.matchemphys.2021.125252,47,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,200,200,200,1,2,,697.695,,185.144,0,0,1,5
10.1016/j.matchemphys.2021.125252,48,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,200,200,200,1,2,,636.065,,108.065,0,0,1,5
10.1016/j.matchemphys.2021.125252,49,221,0,Fe1Rh1,0,0.1,FeRh,27,353,370,FeRh,0,200,200,200,1,2,,604.83,,76.83,0,0,1,5
doi.org/10.1038/srep06641,50,87,0,Mn1O2,0,80,MnO2,92,42,140,MnO2,0,1000,20,0,6,5,6.9,145,0.022,440,0,0.07,1,1
doi.org/10.3390/nano6110221,51,225,227,Ag1,Fe3O4,4,Ag-Fe3O4,45,,858,Ag,Fe3O4,65,65,65,1,5,60,1186,16.22,551.72,0,0.848,1,5
doi.org/10.3390/nano6110221,52,225,227,Ag1,Fe3O4,4,Ag-Fe3O4,45,,858,Ag,Fe3O4,65,65,65,1,5,60,1186,16.22,551.72,0,0,1,1
doi.org/10.1088/0957-4484/26/40/405705,53,229,212,Fe1,Fe2O3,4,Fe-Fe2O3,110,948,1043,Fe,Fe2O3,11.65,11.65,11.65,1,5,384.57,2095.77,247.96,96.767,0,111.36,1,5
doi.org/10.1088/0957-4484/26/40/405705,54,229,212,Fe1,Fe2O3,4,Fe-Fe2O3,110,948,1043,Fe,Fe2O3,11.65,11.65,11.65,1,5,326.6,1812,155.91,1812,0,157.4,1,5
doi.org/10.1088/0957-4484/26/40/405705,55,229,212,Fe1,Fe2O3,4,Fe-Fe2O3,110,948,1043,Fe,Fe2O3,11.65,11.65,11.65,1,5,326.6,7238,117.337,7238,0,117,1,5
doi.org/10.1016/j.jmmm.2016.05.023,56,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,300,35,,5.14,93.2306,0,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,57,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,300,41,,8.954,82.0306,0,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,58,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,300,53,,10.8,82.0306,0,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,59,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,210,37.7,13,0.285,0,1,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,60,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,210,37.7,13,0.294,2.5,0,0,1,5
doi.org/10.1016/j.jmmm.2016.05.023,61,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,120,37,521,3.095,0,1,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,62,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,120,37,560,2.8,719,0,3.99,1,5
doi.org/10.1016/j.jmmm.2016.05.023,63,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,2,32.9,2202,5.149,0,1,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,64,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,15.4,1,2,33.6,3195.5,8.3485,2878.5,0,8.398,1,5
doi.org/10.1016/j.jmmm.2016.05.023,65,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,,1,2,54.8,628.5,13.33,0,1,0,1,0
doi.org/10.1016/j.jmmm.2016.05.023,66,225,227,Fe1O1,Fe3O4,30,FeO-Fe3O4,266,200,858,FeO,Fe3O4,19.2,17.3,,1,2,54.8,767,22.313,329,0,9.188,1,5
doi.org/10.1038/s41598-020-75669-3,67,225,0,Ni1O1,0,15,NiO,5,523,720,NiO,0,34.4,10.97,,6,300,0.18,87.02,2.65,0,1,0,1,0
doi.org/10.1038/s41598-020-75669-3,68,227,0,Fe3O4,0,15,Fe3O4,118,858,858,Fe3O4,0,33,33,33,1,300,70.264,22.41,1.65,0,1,0,1,0
doi.org/10.1038/s41598-020-75669-3,69,225,227,Fe3O4,Ni1O1,15,Fe3O4-NiO,289,796,858,Fe3O4,NiO,52.02,52.02,52.02,1,300,31.33,37.09,1.35,0,1,0,1,0
doi.org/10.1038/s41598-020-75669-3,70,227,225,Ni1O1,Fe3O4,15,NiO-Fe3O4,,375,860,NiO,Fe3O4,31.75,31.75,31.75,1,300,40.03,100.29,2.16,0,1,0,1,0
doi.org/10.1038/s41598-020-75669-3,71,225,227,Fe3O4,Ni1O1,15,Fe3O4-NiO,289,796,858,Fe3O4,NiO,52.02,52.02,52.02,1,60,33,95.69,8.6,329.43,0,8.6,1,2.414
doi.org/10.1038/s41598-020-75669-3,72,227,225,Ni1O1,Fe3O4,15,NiO-Fe3O4,,375,860,NiO,Fe3O4,31.75,31.75,31.75,1,60,44.89,145.18,8.16,145.18,1,8.16,0,1.214
doi.org/10.1016/j.jmmm.2019.165783,73,55,161,Bi2Fe4O9,Bi1Fe1O3,50,Bi2Fe4O9-BiFeO3,60,643,,Bi2Fe4O9,BiFeO3,19,19,19,1,2,,1300,0.052,1600,0,0.053,1,5
doi.org/10.1016/j.jmmm.2019.165783,74,161,55,Bi1Fe1O3,Bi2Fe4O9,50,BiFeO3-Bi2Fe4O9,60,590,,BiFeO3,Bi2Fe4O9,13,13,13,1,2,,1225,0.046,1825,1,0.054,1,5
doi.org/10.1016/j.jmmm.2019.165783,75,161,55,Bi1Fe1O3,Bi2Fe4O9,50,BiFeO3-Bi2Fe4O9,60,590,,BiFeO3,Bi2Fe4O9,19,19,19,1,2,,900,0.0365,1500,0,0.058,1,5
doi.org/10.1016/j.jmmm.2019.165783,76,161,55,Bi1Fe1O3,Bi2Fe4O9,50,BiFeO3-Bi2Fe4O9,60,590,,BiFeO3,Bi2Fe4O9,13,13,13,1,2,,750,0.049,1650,1,0.061,1,5
doi.org/10.3390/magnetochemistry8120165 ,77,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,2,52,449.38,17.6,9.41,1,0,1,0
doi.org/10.3390/magnetochemistry8120165 ,78,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,2,51.385,477.614,22.13,84.7,0,3.77,1,1
doi.org/10.3390/magnetochemistry8120165 ,79,136,213,Ti1O2,Fe2O3,60,TiO2-Fe2O3,187.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,2,52.18,471.34,21.98,71.36,0,3.3,1,2
doi.org/10.3390/magnetochemistry8120165 ,80,136,213,Ti1O2,Fe2O3,60,TiO2-Fe2O3,,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,2,,453.4,21.963,64.764,0,2.8,1,4
doi.org/10.3390/magnetochemistry8120165 ,81,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,10,50.3,415,17.09,5,1,0,1,0
doi.org/10.3390/magnetochemistry8120165 ,82,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,10,50.275,429,19.818,49.725,0,2.546,1,1
doi.org/10.3390/magnetochemistry8120165 ,83,136,213,Ti1O2,Fe2O3,60,TiO2-Fe2O3,187.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,10,48.91,421.24,19.4,41.96,0,2.4,1,3
doi.org/10.3390/magnetochemistry8120165 ,84,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,100,51,55.122,3.195,2.42,1,0,1,0
doi.org/10.3390/magnetochemistry8120165 ,85,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,100,48.85,53.78,3.345,2.42,1,0.1,0,1
doi.org/10.3390/magnetochemistry8120165 ,86,136,213,Ti1O2,Fe2O3,60,TiO2-Fe2O3,187.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,100,50.6,53,3.375,2.42,1,0.66,0,2
doi.org/10.3390/magnetochemistry8120165 ,87,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,300,52.5,20.115,1.442,1.355,1,0,1,0
doi.org/10.3390/magnetochemistry8120165 ,88,136,213,Ti1O2,Fe2O3,40,TiO2-Fe2O3,217.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,300,46.11,19.88,1.438,0.6585,0,0.139,0,1
doi.org/10.3390/magnetochemistry8120165 ,89,136,213,Ti1O2,Fe2O3,60,TiO2-Fe2O3,187.5,948,577,TiO2,Fe2O3,12.9,12.9,12.9,1,300,45.78,20.814,1.5775,0.659,0,0.0695,0,2
doi.org/10.1007/s10854-021-07606-7,90,227,0,Fe3O4,0,20,Fe3O4,118,858,858,Fe3O4,0,15,15,15,1,5,57,624.1,33.04,15,0,3.8,1,3
doi.org/10.1007/s10854-021-07606-7,91,227,0,Co0.4Fe2.6O4,0,20,Co0.4Fe2.6O4,200,,793,Co0.4Fe2.6O4,0,16.8,16.8,16.8,1,5,55,8336,43.5,52,0,2.15,1,3
doi.org/10.1007/s10854-021-07606-7,92,227,0,Co0.7Fe2.3O4,0,20,Co0.7Fe2.3O4,200,,793,Co0.7Fe2.3O4,0,18.6,18.6,18.6,1,5,51,10760,36.47,70,0,0,1,3
doi.org/10.1007/s10854-021-07606-7,93,227,0,Co1Fe2O4,0,20,CoFe2O4,398,890,789,CoFe2O4,0,20,20,20,1,5,45,14563,32.22,20,0,2.48,1,3
doi.org/10.1038/s41598-018-19676-5,94,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,10,1.259,1219.58,0.0485,1219.58,0,0.0485,1,6.5
doi.org/10.1038/s41598-018-19676-5,95,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,130,0.8455,429.82,0.0105,1182,0,0.031,1,6.5
doi.org/10.1038/s41598-018-19676-5,96,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,300,0.646,1500,0.025,342.15,1,0.006,1,6.5
doi.org/10.1038/s41598-018-19676-5,97,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,10,1.24,1361.93,0.057,0,1,0,1,0
doi.org/10.1038/s41598-018-19676-5,98,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,130,0.84,901.82,0.025,0,1,0,1,0
doi.org/10.1038/s41598-018-19676-5,99,161,0,Bi1Fe1O3,0,50,BiFeO3,35,643,683,BiFeO3,0,18,18,18,1,300,0.672,2309.79,0.039,0,1,0,1,0
doi.org/10.1007/s10948-017-4389-6,100,229,0,Fe0.7Co0.3,0,30,Fe0.7Co0.3,300,,800,Fe0.7Co0.3,0,45,45,45,3,10,63,3999.6,34.3,0.1,0,0,1,1.4
doi.org/10.1007/s10948-017-4389-6,101,229,0,Fe0.7Co0.3,0,30,Fe0.7Co0.3,300,,800,Fe0.7Co0.3,0,48,48,48,3,150,59.95,1299.65,28,399.95,1,0,1,1.4
doi.org/10.1007/s10948-017-4389-6,102,229,0,Fe0.7Co0.3,0,30,Fe0.7Co0.3,300,,800,Fe0.7Co0.3,0,51,51,51,3,300,55.4,849.7,22.25,49.9,1,0,1,1.2
doi.org/10.1007/s10948-017-4389-6,103,229,0,Fe0.5Co0.5,0,30,Fe0.5Co0.5,300,,800,Fe0.5Co0.5,0,45,45,45,3,10,97.3,2899.7,39.33,0,1,0.656,1,2
doi.org/10.1007/s10948-017-4389-6,104,229,0,Fe0.5Co0.5,0,30,Fe0.5Co0.5,300,,800,Fe0.5Co0.5,0,48,48,48,3,150,97.45,1499,32,0,1,1.744,1,2.2
