,id,space_group_shell,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,sphericity,max/min,exc_dir,ver_s_dir,area/volume
0,1,227,27800.0,1132.0,5.0,50.0,13.76705,52.1524,1.0,186.0,5.0,0.0,1.00000028155478,1,0,1,0.4054054054054055
1,2,227,7800.0,406.0,5.0,50.0,43.2642,83.14,1.0,225.0,5.0,0.0,1.00000028155478,1,0,1,0.42857142857142855
2,3,0,24.800000000000185,51.34000000000003,0.0,10.0,0.0077999999999995,2.289999999999999,1.0,227.0,300.0,0.0,1.00000028155478,1,1,1,0.17647058823529413
3,4,0,90.19999999999982,108.17999999999996,0.0,10.0,0.0217999999999989,2.43,1.0,227.0,300.0,0.0,1.0000002815547802,1,1,1,0.27272727272727276
4,5,0,40.07000000000016,8.919999999999959,0.0,10.0,0.3497999999999983,16.15,1.0,227.0,300.0,0.0,1.0000002815547795,1,1,1,0.25000000000000006
5,6,0,47.13000000000011,14.379999999999995,0.0,10.0,0.6546000000000003,18.75,1.0,227.0,300.0,0.0,1.0000002815547795,1,1,1,0.1666666666666667
6,7,0,109.34999999999992,2.830000000000041,0.0,10.0,9.2738,81.48,1.0,227.0,300.0,0.0,1.0000002815547795,1,1,1,0.14285714285714285
7,8,0,830.0,0.0,0.0,60.0,0.7349999999999994,1.3235000000000028,1.0,62.0,5.0,0.0169999999999999,1.0000002815547795,1,1,0,0.11111111111111112
8,9,0,894.0,255.0,0.5,60.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,0.04732,1.0000002815547795,1,0,0,0.11111111111111112
9,10,0,910.0,296.0,1.0,60.0,0.7349999999999994,1.3528999999999982,1.0,62.0,5.0,0.0172799999999999,1.0000002815547795,1,0,1,0.11111111111111112
10,11,0,945.0,344.0,2.0,60.0,0.7349999999999994,1.3823000000000008,1.0,62.0,5.0,0.0431799999999999,1.0000002815547795,1,0,1,0.11111111111111112
11,12,0,1077.0,635.0,5.0,60.0,0.6999999999999993,1.4411699999999996,1.0,62.0,5.0,0.142857,1.0000002815547795,1,0,1,0.11111111111111112
12,13,0,894.0,0.0,0.0,60.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.2999999999999998,1.00000028155478,1,1,0,0.08333333333333333
13,14,0,985.0,229.0,0.5,60.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.0088000000000001,1.00000028155478,1,0,1,0.08333333333333333
14,15,0,1016.0,350.0,1.0,60.0,0.0588000000000015,0.6499999999999986,1.0,62.0,5.0,0.0176,1.00000028155478,1,0,1,0.08333333333333333
