,c1,c2,c3,chemical_formula,coer_oe,crystal_structure,depth_nm,exc_bias_oe,fc_field_t,h_range_max_koe,id,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,space_group_shell,structure,structure_,temperature_k,ver_shift_emu_g,width_nm,orig_c1,orig_c2,formula_combined
21,Ni1,Ni1 O1,,"['Ni', 'NiO']",534.0,"cubic, cubic",30.0,-81.0,1.0,2.5,22,30.0,13.0,16.0,sphere,fm-3m,fm-3m,Ni–NiO,Ni–NiO,8.0,0.0,30.0,Ni,NiO,Ni1 Ni1 O1
22,Ni1,Ni1 O1,,"['Ni', 'NiO']",756.0,"cubic, cubic",30.0,-109.0,1.0,2.5,23,30.0,12.8,16.5,sphere,fm-3m,fm-3m,Ni–NiO,Ni–NiO,8.0,0.0,30.0,Ni,NiO,Ni1 Ni1 O1
23,Mg1 Fe2 O4,,,['MgFe2O4'],8.45,cubic,12.0,0.0,0.0,20.0,24,12.0,0.14,12.75,tetrahedral,fd-3m,0,MgFe2O4,MgFe2O4,300.0,0.0,12.0,MgFe2O4,,Mg1 Fe2 O4
24,Mg1 Fe2 O4,,,['MgFe2O4'],9.88,cubic,16.0,0.0,0.0,20.0,25,16.0,0.34,18.61,tetrahedral,fd-3m,0,MgFe2O4,MgFe2O4,300.0,0.0,16.0,MgFe2O4,,Mg1 Fe2 O4
25,Mg1 Fe2 O4,,,['MgFe2O4'],22.34,cubic,24.0,0.0,0.0,20.0,26,24.0,1.24,24.52,octahedral,fd-3m,0,MgFe2O4,MgFe2O4,300.0,0.0,24.0,MgFe2O4,,Mg1 Fe2 O4
26,Mg1 Fe2 O4,,,['MgFe2O4'],59.66,cubic,33.0,0.0,0.0,20.0,27,33.0,3.81,29.42,octahedral,fd-3m,0,MgFe2O4,MgFe2O4,300.0,0.0,33.0,MgFe2O4,,Mg1 Fe2 O4
27,Fe2 Co1 O4,,,['CoFe2O4'],1400.0,cubic,17.7,0.0,0.5,15.0,28,17.7,32.0,75.0,sphere,fd-3m,0,CoFe2O4,CoFe2O4,300.0,0.0,17.7,CoFe2O4,,Fe2 Co1 O4
28,Fe1 Bi1 O3,,,['BiFeO3'],0.0,trigonal,20.4,0.0,0.5,15.0,29,20.4,0.03,0.12,sphere,r3c,0,BiFeO3,BiFeO3,300.0,0.0,20.4,BiFeO3,,Fe1 Bi1 O3
29,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",902.2495,"cubic, trigonal",24.3,112.781,10.0,60.0,30,24.3,31.042,74.595,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,350.0,0.0,24.3,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
30,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",1316.317,"cubic, trigonal",24.3,226.736,10.0,60.0,31,24.3,39.222,79.167,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,300.0,0.0,24.3,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
