,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,Unnamed: 0
10,0.111111,60.0,730.0,5.0,1.4411699999999996,1077.0,0.6999999999999993,635.0,0.0,0.142857,1.0,5.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,10
11,0.08333300000000002,60.0,730.0,5.0,0.6500000000000341,985.0,0.05879999999999974,229.0,0.0,0.008799999999999919,1.0,0.5000000000000002,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,11
12,0.08333300000000002,60.0,730.0,5.0,0.6500000000000341,1016.0,0.05879999999999974,350.0,0.0,0.01760000000000006,1.0,1.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,12
13,0.08333300000000002,60.0,730.0,5.0,0.660000000000025,1074.0,0.05879999999999974,502.0,0.0,0.02299999999999991,1.0,2.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,13
14,0.1,2.5,668.0,8.0,26.600000000000023,634.0,21.5,130.0,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,14
15,0.1,2.5,668.0,8.0,26.399999999999977,641.0,21.5,137.0,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,15
16,0.1,2.5,668.0,8.0,15.199999999999989,379.0,8.9,38.0,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,16
17,0.1,2.5,668.0,8.0,14.699999999999989,547.0,10.7,73.0,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,17
18,0.1,2.5,668.0,8.0,16.0,534.0,13.0,81.00000000000003,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,18
19,0.1,2.5,668.0,8.0,16.499999999999943,756.0,12.8,109.0,0.0,0.0,1.0,1.0,1.0,1.0,2.416394,109.4712,109.4712,109.4712,2.924839,90.0,90.0,120.0,0.666667,0.940952,171.2915,1.0,191.0,267.5,1000.0,515.0,800.0,257.5,0.0,0.0,0.0,2.859813,2.5,10.0,19
20,0.123457,60.0,793.0,350.0,74.59499999999997,902.2494999999999,31.042,112.781,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,35.13043999999999,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,20
21,0.123457,60.0,793.0,300.0,79.16699999999997,1316.317,39.222,226.736,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,35.13043999999999,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,21
22,0.09118499999999999,60.0,793.0,250.0,83.25900000000001,1616.53,41.629,170.0,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,35.13043999999999,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,22
23,0.123457,60.0,793.0,200.0,85.89999999999998,2594.238,56.0,169.131,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,35.13043999999999,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,23
24,0.123457,60.0,720.0,100.0,87.0,6052.7,67.858,112.78,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,31.89649,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,24
25,0.09118499999999999,60.0,720.0,50.0,87.5,7932.631,71.226,56.18000000000001,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,31.89649,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,25
26,0.123457,60.0,720.0,150.0,87.34899999999999,4116.89,63.046,90.0,1.0,0.0,1.0,10.0,1.0,1.0,5.932914,120.4948,120.2024,89.39748,5.388094,122.2099,142.6878,47.91918,0.333333,0.8398129999999999,31.89649,1.0,275.7143,243.0,700.0,205.7143,520.0,94.0,2.860376,1.707469,11.55577,3.403618,2.686808,19.49359,26
