,id,space_group_shell,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,sphericity,max/min,exc_dir,ver_s_dir,area/volume
241,0.5047080979284368,0.0,0.062019064748201444,2.4471580313422194,0.11428571428571428,0.8887652947719688,0.0005767059203097297,0.009926735878616894,0.0,0.9824561403508771,0.008620689655172414,0.0,0.5943878937498531,1.0,1.0,1.0,0.2839240959541711
242,0.5065913370998116,0.0,4.0647482014392415e-05,2.4771212547196626,0.0,0.8887652947719688,0.00048394902403613887,0.0076384509871479005,0.0,0.9824561403508771,0.0,0.0,0.5943878937498531,1.0,1.0,1.0,0.2202729044834308
243,0.5084745762711864,0.0,2.877697841727273e-05,2.4771212547196626,0.0,0.8887652947719688,0.0002823035973544128,0.006572318253622585,0.0,0.9824561403508771,0.0517241379310345,0.0,0.5943878937498531,1.0,1.0,1.0,0.2202729044834308
244,0.5103578154425612,0.0,3.95683453237868e-06,2.4471580313422194,0.0,0.8887652947719688,4.032908533635062e-05,0.0038133747651582714,0.0,0.9824561403508771,0.39655172413793105,0.0,0.5943878937498531,1.0,1.0,1.0,0.2202729044834308
245,0.5141242937853107,0.0,0.05365179856115108,1.6532125137753437,0.11428571428571428,0.8887652947719688,0.000577512502016455,0.008028499548193766,0.0,0.9824561403508771,0.008620689655172414,0.0,0.5943878937498531,1.0,1.0,1.0,0.2202729044834308
246,0.5160075329566854,0.982532751091703,0.0,1.6812412373755872,0.0,0.9999999999999999,0.0,0.011980991633458362,0.0,0.9824561403508771,0.8563218390804597,0.0,0.5943878937498531,1.0,1.0,1.0,0.2202729044834308
247,0.5178907721280602,0.982532751091703,0.0011705035971223009,1.380211241711606,0.0,0.9999999999999999,0.0026337312469753185,0.020822092350497638,0.0,0.9824561403508771,0.8563218390804597,0.0,0.5943878937498528,1.0,1.0,1.0,0.1979949874686717
248,0.519774011299435,0.982532751091703,0.0011705035971223009,1.3222192947339193,0.0,0.9999999999999999,0.0026337312469753185,0.03174345205978145,0.0,0.9824561403508771,0.8563218390804597,0.0,0.5943878937498532,1.0,1.0,1.0,0.1797676008202324
249,0.5216572504708098,0.982532751091703,0.0022877697841726585,1.0,0.0,0.9999999999999999,0.0029714470075818773,0.07386869665273327,0.0,0.9824561403508771,0.8563218390804597,0.0,0.5943878937498531,1.0,1.0,1.0,0.12280701754385964
250,0.5235404896421845,0.982532751091703,0.002449640287769781,1.146128035678238,0.0,0.9999999999999999,0.010187126955960637,0.10481254916237073,0.0,0.9824561403508771,0.8563218390804597,0.0,0.5943878937498531,1.0,1.0,1.0,0.08466819221967964
