,Unnamed: 0,area/volume,volume,area,space_group_core,space_group_shell,h_range_max_koe,Tb,TN,Tc,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_a,core_b,core_c,core_alpha,core_beta,core_gamma,shell_a,shell_b,shell_c,shell_alpha,shell_beta,shell_gamma,total_ions,z_ions,core_total_ions,core_magnetic_ions,shell_total_ions,shell_magnetic_ions,num_of_magn_ions,Tn-Tb/Tn,Aex,core,shell,formula
59,59,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,210,37.7,13,0.294,2.5,0,0,1,5,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
60,60,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,120,37,521,3.095,0,1,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
61,61,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,120,37,560,2.8,719,0,3.99,1,5,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
62,62,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,2,32.9,2202,5.149,0,1,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
63,63,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,2,33.6,3195.5,8.3485,2878.5,0,8.398,1,5,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
64,64,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,25.16,1,2,54.8,628.5,13.33,0,1,0,1,0,1,1.45433526,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
65,65,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,30.28,1,2,54.8,767,22.313,329,0,9.188,1,5,1,1.750289017,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
66,66,0.546946217,10195.6056,5576.447914,225,0,15,5,523,720,34.4,10.97,6.124,6,300,0.18,87.02,2.65,0,1,0,1,0,0.4077573761,5.617243632,2.924839357,2.924839357,3.442262,90,90,119.9999855,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9904397706,0,NiO,0,NiO
67,67,0.09090909091,150532.4264,13684.76604,227,0,15,118,858,858,33,33,33,1,300,70.264,22.41,1.65,0,1,0,1,0,1,1,3.058813,5.142692,5.225572969,74.87633512,90,90,0,0,0,0,0,0,7,3,7,3,0,0,0.4285714286,0.8624708625,0,Fe3O4,0,Fe3O4
68,68,0.05767012687,589656.7658,34005.5805,225,227,15,289,796,858,52.02,52.02,52.02,1,300,31.33,37.09,1.35,0,1,0,1,0,1,1,3.058813,5.142692,5.225572969,74.87633512,90,90,2.924839357,2.924839357,3.442262,90,90,119.9999855,9,4,7,3,2,1,0.4444444444,0.6369346734,110.0060416,Fe3O4,NiO,Fe3O4-NiO
69,69,0.09448818898,134066.2406,12667.67628,227,225,15,120.2,375,860,31.75,31.75,31.75,1,300,40.03,100.29,2.16,0,1,0,1,0,1,1,2.924839357,2.924839357,3.442262,90,90,119.9999855,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,0.6794666667,105.4330552,NiO,Fe3O4,NiO-Fe3O4
70,70,0.05767012687,589656.7658,34005.5805,225,227,15,289,796,858,52.02,52.02,52.02,1,60,33,95.69,8.6,329.43,0,8.6,1,2.414,1,1,3.058813,5.142692,5.225572969,74.87633512,90,90,2.924839357,2.924839357,3.442262,90,90,119.9999855,9,4,7,3,2,1,0.4444444444,0.6369346734,110.0060416,Fe3O4,NiO,Fe3O4-NiO
71,71,0.09448818898,134066.2406,12667.67628,227,225,15,118.6,375,860,31.75,31.75,31.75,1,60,44.89,145.18,8.16,145.18,1,8.16,0,1.214,1,1,2.924839357,2.924839357,3.442262,90,90,119.9999855,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,0.6837333333,105.4330552,NiO,Fe3O4,NiO-Fe3O4
72,72,0.1578947368,28730.88775,4536.45596,55,161,50,60,643,778,19,19,19,1,2,1.4325,1300,0.052,1600,0,0.053,1,5,1,1,6.100145,8.071366,8.657044,90,90,90,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,20,5,15,4,5,1,0.25,0.9066874028,27.57274613,Fe4Bi2O9,FeBiO3,Bi2Fe4O9-BiFeO3
73,73,0.2307692308,9202.764307,2123.71484,161,55,50,60,590,788.6,13,13,13,1,2,12.4228,1225,0.046,1825,1,0.054,1,5,1,1,8.464880463,5.388093916,5.321518785,122.2098958,142.6878026,47.91917824,6.100145,8.071366,8.657044,90,90,90,20,5,5,1,15,4,0.25,0.8983050847,38.78268467,FeBiO3,Fe4Bi2O9,BiFeO3/Bi2Fe4O9
